path,sizeKB,ext,LOC,lastModified,category
"/home/bk13/Documents/ALG-EcoTour/README.md",1,md,0,1767620314,docs
"/home/bk13/Documents/ALG-EcoTour/PROJECT_ANALYSIS.md",15,md,0,1767702387,docs
"/home/bk13/Documents/ALG-EcoTour/OPERATING_INSTRUCTIONS.md",8,md,0,1768398724,docs
"/home/bk13/Documents/ALG-EcoTour/tsconfig.tsbuildinfo",133,tsbuildinfo,0,1767644590,config
"/home/bk13/Documents/ALG-EcoTour/public/vercel.svg",0,svg,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/public/file.svg",0,svg,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/public/next.svg",1,svg,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/public/window.svg",0,svg,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/public/globe.svg",1,svg,0,1767620314,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/tours/desert-1.jpg",0,jpg,0,1767709672,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/tours/sahara.jpg",0,jpg,0,1767709676,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/tours/tassili.jpg",0,jpg,0,1767709680,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/tours/mountains.jpg",0,jpg,0,1767709684,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/tours/placeholder.jpg",0,jpg,0,1767709668,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/oasis.jpg",0,jpg,0,1767709791,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/hoggar.jpg",0,jpg,0,1767709778,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/sahara.jpg",0,jpg,0,1767709768,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/tassili.jpg",0,jpg,0,1767709774,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/kabylie.jpg",0,jpg,0,1767709783,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/destinations/coast.jpg",0,jpg,0,1767709787,assets
"/home/bk13/Documents/ALG-EcoTour/public/images/placeholder.jpg",0,jpg,0,1767700389,assets
"/home/bk13/Documents/ALG-EcoTour/next.config.js",0,js,21,1767646886,config
"/home/bk13/Documents/ALG-EcoTour/eslint.config.mjs",0,mjs,0,1767620314,config
"/home/bk13/Documents/ALG-EcoTour/EVIDENCE_S5.md",4,md,0,1768399386,docs
"/home/bk13/Documents/ALG-EcoTour/next.config.ts",0,ts,19,1767709653,config
"/home/bk13/Documents/ALG-EcoTour/QUICK_START_FRONTEND.md",6,md,0,1767620314,docs
